stag,event,gender,age,industry,profesi,traffic,coach,head_gender,greywage,way,extraversion,independ,selfcontrol,anxiety,novator,profession
9.527720739,1,m,23,IT,HR,empjs,no,f,white,bus,7,4.1,6.4,4.8,5.2,HR
17.01848049,1,f,40,Banks,Sales,advert,my head,f,white,car,5.4,4.1,4.9,6.3,7.5,Non-HR
130.9897331,1,f,31,IT,HR,KA,no,m,white,bus,5.4,6.9,3.3,4,8.3,HR
37.09240246,1,f,37,etc,HR,youjs,yes,f,white,bus,6.2,6.2,6.4,5.6,5.2,HR
0.427104723,1,f,24,IT,HR,youjs,yes,f,white,bus,8.6,4.1,4.9,3.3,6,HR
12.8788501,1,f,23,Building,HR,empjs,no,f,grey,bus,5.4,8.4,4.1,4.8,6,HR
12.8788501,1,f,23,Building,HR,empjs,no,f,grey,bus,7.8,5.5,4.1,4.8,5.2,HR
8.147843943,1,f,46,RealEstate,HR,rabrecNErab,no,m,white,car,4.6,7.6,6.4,4,6,HR
7.326488706,1,f,23,Consult,Marketing,youjs,yes,f,white,bus,6.2,4.8,5.7,3.3,3.7,Non-HR
17.93839836,1,f,40,IT,HR,empjs,yes,m,white,bus,3,8.4,7.2,4.8,8.3,HR
14.6201232,1,m,39,manufacture,Engineer,recNErab,no,m,white,car,3.8,4.8,5.7,7.9,3.7,Non-HR
16,1,f,28,Retail,HR,youjs,no,f,white,car,3,5.5,6.4,5.6,3.7,HR
32.45995893,1,m,40,etc,HR,empjs,yes,m,white,car,5.4,3.4,5.7,7.9,9.8,HR
73.49486653,1,m,33,Retail,Finanñe,rabrecNErab,no,f,white,bus,2.2,6.2,6.4,6.3,5.2,Non-HR
73.49486653,1,m,33,Retail,Finanñe,rabrecNErab,no,f,white,bus,3.8,4.1,8,6.3,4.4,Non-HR
11.8275154,1,f,24,Banks,HR,referal,no,f,white,foot,7.8,6.2,4.9,1.7,3.7,HR
46.35728953,1,f,38,Retail,HR,rabrecNErab,no,m,white,bus,6.2,4.1,4.9,5.6,6.7,HR
52.50102669,1,m,35,manufacture,BusinessDevelopment,rabrecNErab,no,m,white,car,5.4,4.8,4.1,7.9,7.5,Non-HR
14.98151951,1,f,33,manufacture,HR,referal,my head,m,white,car,4.6,4.8,7.2,7.9,6,HR
26.21765914,1,f,36,etc,HR,empjs,no,m,white,foot,3,6.9,6.4,4.8,6,HR
26.21765914,1,f,36,etc,HR,empjs,no,m,white,foot,2.2,6.9,8,6.3,3.7,HR
26.21765914,1,f,36,etc,HR,empjs,no,m,white,foot,3,6.9,7.2,4.8,5.2,HR
29.07597536,1,f,22,etc,HR,youjs,yes,f,white,bus,9.4,4.1,4.1,4.8,9,HR
33.3798768,1,f,38,manufacture,HR,rabrecNErab,no,m,white,bus,7.8,2.6,5.7,7.1,5.2,HR
5.848049281,1,f,23,Banks,HR,rabrecNErab,yes,f,white,bus,4.6,6.9,7.2,5.6,4.4,HR
5.848049281,1,f,23,Banks,HR,rabrecNErab,yes,f,white,bus,6.2,4.8,4.9,4.8,3.7,HR
77.53593429,1,f,24,etc,Sales,rabrecNErab,my head,f,white,bus,6.2,5.5,5.7,3.3,2.1,Non-HR
166.275154,1,m,26,Retail,Sales,recNErab,no,m,white,car,3,5.5,5.7,7.1,6.7,Non-HR
107.1704312,1,f,33,etc,etc,advert,no,m,white,bus,5.4,1,9.5,9.4,5.2,Non-HR
19.44969199,1,f,40,Banks,HR,empjs,yes,f,grey,bus,6.2,3.4,8,3.3,3.7,HR
8.640657084,1,f,23,manufacture,manage,KA,no,f,white,car,3.8,4.1,8.7,4,2.9,Non-HR
13.66735113,1,f,27,Retail,HR,youjs,no,m,white,car,8.6,4.8,7.2,4,3.7,HR
6.275154004,1,f,24,PowerGeneration,Sales,empjs,my head,f,white,bus,5.4,6.2,4.1,6.3,9.8,Non-HR
23.19507187,1,f,30,Banks,HR,rabrecNErab,no,f,white,car,5.4,7.6,2.6,5.6,6,HR
16.32854209,1,f,37,Pharma,etc,empjs,no,f,white,car,4.6,7.6,5.7,5.6,8.3,Non-HR
26.11909651,1,f,31,manufacture,HR,rabrecNErab,no,m,grey,bus,3,7.6,4.9,5.6,5.2,HR
35.38398357,1,f,31,Retail,HR,KA,no,m,white,bus,3.8,10,3.3,3.3,6.7,HR
25.98767967,1,f,23,IT,HR,youjs,my head,f,white,bus,1.4,2.6,9.5,8.7,2.1,HR
3.58110883,1,f,40,Banks,HR,empjs,no,f,white,bus,7.8,5.5,2.6,6.3,8.3,HR
3.58110883,1,f,40,Banks,HR,empjs,no,f,white,bus,8.6,5.5,3.3,6.3,7.5,HR
3.58110883,1,f,40,Banks,HR,empjs,no,f,white,bus,7,6.9,4.1,5.6,7.5,HR
1.708418891,1,f,37,etc,Marketing,youjs,no,f,white,bus,4.6,2.6,8.7,4,2.9,Non-HR
25.23203285,1,f,30,Retail,Sales,youjs,no,f,white,bus,4.6,2.6,7.2,6.3,5.2,Non-HR
13.8973306,1,f,38,State,Teaching,referal,no,f,white,foot,3,9.1,4.1,4.8,6,Non-HR
63.11293634,1,m,32,Mining,Law,rabrecNErab,no,f,white,bus,3,4.8,4.1,7.1,7.5,Non-HR
11.30184805,1,f,34,Building,Marketing,referal,no,m,grey,car,9.4,3.4,4.9,3.3,6,Non-HR
11.69609856,1,f,25,manufacture,HR,youjs,my head,f,grey,car,3,4.8,7.2,7.9,5.2,HR
11.69609856,1,f,25,manufacture,HR,youjs,my head,f,grey,car,3,5.5,5.7,7.1,5.2,HR
30.22587269,0,m,33,Retail,HR,empjs,my head,f,white,car,4.6,6.2,8,7.1,5.2,HR
30.22587269,0,m,33,Retail,HR,empjs,my head,f,white,car,5.4,7.6,5.7,7.1,6,HR
38.01232033,0,m,33,Retail,HR,rabrecNErab,my head,m,white,car,3,4.1,8,7.1,3.7,HR
21.61806982,1,m,37,manufacture,manage,rabrecNErab,no,m,grey,bus,3.8,4.8,4.9,7.1,6.7,Non-HR
39.06365503,1,f,31,manufacture,HR,rabrecNErab,my head,f,white,bus,6.2,4.8,4.1,4.8,5.2,HR
138.9404517,0,f,30,RealEstate,BusinessDevelopment,referal,my head,m,white,foot,5.4,6.9,2.6,5.6,8.3,Non-HR
23.6550308,1,m,26,manufacture,Engineer,referal,my head,m,white,bus,4.6,5.5,8.7,5.6,1.3,Non-HR
20.56673511,1,m,33,Banks,etc,youjs,no,m,white,car,6.2,4.1,3.3,8.7,9.8,Non-HR
94.12731006,0,f,25,Retail,HR,youjs,no,m,grey,car,6.2,3.4,6.4,6.3,7.5,HR
2.102669405,0,f,32,etc,Marketing,rabrecNErab,my head,m,white,foot,5.4,5.5,3.3,7.9,8.3,Non-HR
96.65708419,0,f,36,Retail,HR,KA,no,m,white,car,6.2,6.2,5.7,4,5.2,HR
34.49691992,0,f,38,Building,HR,referal,no,m,white,car,1.4,4.8,5.7,6.3,6.7,HR
46.78439425,1,f,23,Retail,Marketing,advert,my head,f,white,car,3,6.2,8.7,4.8,6,Non-HR
80.16427105,1,f,26,State,manage,referal,no,f,white,foot,4.6,5.5,8,4.8,5.2,Non-HR
11.89322382,1,f,24,Banks,HR,rabrecNErab,no,f,white,foot,7.8,6.2,4.9,1.7,3.7,HR
79.86858316,1,f,25,Retail,HR,empjs,no,m,white,bus,7.8,6.9,3.3,3.3,5.2,HR
2.201232033,1,f,33,Banks,HR,rabrecNErab,no,f,white,car,5.4,6.2,7.2,2.5,5.2,HR
16.82135524,0,f,32,Pharma,Sales,rabrecNErab,no,f,white,bus,5.4,7.6,8.7,2.5,2.9,Non-HR
6.045174538,0,f,44,Banks,HR,KA,no,f,white,car,4.6,4.8,8.7,4.8,6,HR
1.741273101,1,f,24,Consult,Consult,youjs,no,f,grey,bus,6.2,4.8,8,4,2.9,Non-HR
24.18069815,1,f,23,manufacture,HR,youjs,my head,f,white,bus,6.2,3.4,6.4,4.8,3.7,HR
38.01232033,0,f,25,manufacture,HR,youjs,no,f,white,bus,6.2,3.4,6.4,4.8,3.7,HR
5.749486653,1,f,34,etc,HR,empjs,no,m,white,car,8.6,5.5,1,6.3,9.8,HR
12.02464066,1,m,30,Retail,Sales,rabrecNErab,no,m,grey,car,5.4,4.1,4.9,6.3,6,Non-HR
8.31211499,1,f,29,State,Teaching,advert,no,f,white,foot,9.4,5.5,3.3,3.3,5.2,Non-HR
15.21149897,1,f,30,Mining,HR,youjs,my head,f,white,car,4.6,6.9,7.2,3.3,6.7,HR
93.9301848,0,f,29,IT,HR,rabrecNErab,no,f,white,bus,4.6,7.6,7.2,2.5,4.4,HR
